Model,Stage,Accuracy,F1_Macro,F1_Weighted,Train_Time_sec,Best_Params,Learning_Rate
LinearSVC,Baseline,0.820421427822623,0.8187388755936645,0.8196927097226524,6.537491798400879,,
LogisticRegression,Baseline,0.8271307264912464,0.8269676471896504,0.8278118459164501,6.9940221309661865,,
NaiveBayes,Baseline,0.7817381276863403,0.7671861832423269,0.7679111240891332,3.637260675430298,,
RandomForest,Baseline,0.812663801237027,0.8130761861875038,0.8140216693989464,135.41844296455383,,
LinearSVC,Tuned (GridSearch),0.8360415137855121,0.833433779024246,0.8342156963723221,34.407018423080444,"{'clf__C': 0.1, 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 1)}",
LogisticRegression,Tuned (GridSearch),0.8324771988678058,0.8322200733610821,0.833030198142463,43.97915744781494,"{'clf__C': 1, 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 1)}",
NaiveBayes,Tuned (GridSearch),0.778593143935423,0.770963249988237,0.771720208397191,13.933394193649292,"{'clf__alpha': 0.5, 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 2)}",
RandomForest,Tuned (GridSearch),0.8131879651955132,0.8129342402802583,0.8138926338192822,194.32528281211853,"{'clf__max_depth': None, 'clf__n_estimators': 200, 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 1)}",
DistilBERT,Transformer,0.8614110493762449,0.8604331094178632,0.8611427360363785,1146.1502394676208,,2e-05
DistilBERT,Transformer,0.8317433693259252,0.8322839519855288,0.8330015524537331,763.8378138542175,,0.0002
